calibration_ratio,replication_id,outcome,liquidity_effect,market_effect,channel_difference
0.5,primary-0114,exit_rate,0.301666666667,0.36,-0.0583333333333
0.5,primary-0114,rmst_days,2.60666666667,3.04833333333,-0.441666666667
0.5,primary-0115,exit_rate,0.371666666667,0.148333333333,0.223333333333
0.5,primary-0115,rmst_days,1.835,0.401666666667,1.43333333333
0.5,primary-0116,exit_rate,0.375,0.265,0.11
0.5,primary-0116,rmst_days,2.2,1.29,0.91
0.5,primary-0117,exit_rate,0.375,0.256666666667,0.118333333333
0.5,primary-0117,rmst_days,3.43666666667,4.43666666667,-1
0.5,primary-0118,exit_rate,0.301666666667,0.355,-0.0533333333333
0.5,primary-0118,rmst_days,2.94833333333,3.045,-0.0966666666667
0.5,primary-0119,exit_rate,0.335,0.166666666667,0.168333333333
0.5,primary-0119,rmst_days,2.27,1.39,0.88
0.5,primary-0120,exit_rate,0.276666666667,0.385,-0.108333333333
0.5,primary-0120,rmst_days,3.14833333333,4.81833333333,-1.67
0.5,primary-0121,exit_rate,0.358333333333,0.146666666667,0.211666666667
0.5,primary-0121,rmst_days,3.22666666667,2.01166666667,1.215
0.5,primary-0122,exit_rate,0.283333333333,0.383333333333,-0.1
0.5,primary-0122,rmst_days,3.89,9.89833333333,-6.00833333333
0.5,primary-0123,exit_rate,0.3,0.03,0.27
0.5,primary-0123,rmst_days,1.60166666667,0.111666666667,1.49
0.5,primary-0124,exit_rate,0.341666666667,0.28,0.0616666666667
0.5,primary-0124,rmst_days,2.37166666667,1.29833333333,1.07333333333
0.5,primary-0125,exit_rate,0.373333333333,0.261666666667,0.111666666667
0.5,primary-0125,rmst_days,3.42833333333,3.695,-0.266666666667
0.5,primary-0126,exit_rate,0.366666666667,0.258333333333,0.108333333333
0.5,primary-0126,rmst_days,3.52666666667,3.24833333333,0.278333333333
0.5,primary-0127,exit_rate,0.371666666667,0.27,0.101666666667
0.5,primary-0127,rmst_days,1.655,0.398333333333,1.25666666667
0.5,primary-0128,exit_rate,0.295,0.03,0.265
0.5,primary-0128,rmst_days,1.52166666667,0.116666666667,1.405
