calibration_ratio,liquidity_intensity,market_intensity,day,mean_survival,sd_survival,runs
0.5,2,2,30,0.0619,0.136265296961,200
1,0,0,1,1,0,200
1,0,0,2,1,0,200
1,0,0,3,1,0,200
1,0,0,4,1,0,200
1,0,0,5,1,0,200
1,0,0,6,1,0,200
1,0,0,7,1,0,200
1,0,0,8,1,0,200
1,0,0,9,1,0,200
1,0,0,10,1,0,200
1,0,0,11,1,0,200
1,0,0,12,1,0,200
1,0,0,13,1,0,200
1,0,0,14,1,0,200
1,0,0,15,1,0,200
1,0,0,16,1,0,200
1,0,0,17,1,0,200
1,0,0,18,1,0,200
1,0,0,19,1,0,200
1,0,0,20,1,0,200
1,0,0,21,1,0,200
1,0,0,22,1,0,200
1,0,0,23,1,0,200
1,0,0,24,1,0,200
1,0,0,25,1,0,200
1,0,0,26,1,0,200
1,0,0,27,1,0,200
1,0,0,28,1,0,200
1,0,0,29,1,0,200
1,0,0,30,1,0,200
1,0,1,1,1,0,200
1,0,1,2,1,0,200
1,0,1,3,1,0,200
1,0,1,4,1,0,200
1,0,1,5,1,0,200
1,0,1,6,1,0,200
1,0,1,7,1,0,200
1,0,1,8,1,0,200
1,0,1,9,1,0,200
1,0,1,10,1,0,200
1,0,1,11,1,0,200
1,0,1,12,1,0,200
1,0,1,13,1,0,200
1,0,1,14,1,0,200
1,0,1,15,1,0,200
1,0,1,16,1,0,200
1,0,1,17,1,0,200
1,0,1,18,1,0,200
1,0,1,19,1,0,200
1,0,1,20,1,0,200
1,0,1,21,1,0,200
1,0,1,22,1,0,200
1,0,1,23,1,0,200
1,0,1,24,1,0,200
1,0,1,25,0.99995,0.000707106781187,200
1,0,1,26,0.99995,0.000707106781187,200
1,0,1,27,0.99995,0.000707106781187,200
1,0,1,28,0.99995,0.000707106781187,200
1,0,1,29,0.9999,0.000997484272744,200
1,0,1,30,0.99935,0.0061044098073,200
1,0,2,1,1,0,200
1,0,2,2,1,0,200
1,0,2,3,1,0,200
1,0,2,4,1,0,200
1,0,2,5,1,0,200
1,0,2,6,1,0,200
1,0,2,7,1,0,200
1,0,2,8,0.99925,0.0106066017178,200
1,0,2,9,0.99925,0.0106066017178,200
1,0,2,10,0.9987,0.0131213891898,200
1,0,2,11,0.99785,0.0177327310007,200
1,0,2,12,0.9921,0.0533838851713,200
1,0,2,13,0.9899,0.0586617079525,200
1,0,2,14,0.98795,0.0604696651389,200
1,0,2,15,0.9862,0.0626994105268,200
1,0,2,16,0.98165,0.0773088662704,200
1,0,2,17,0.97865,0.0832425619536,200
1,0,2,18,0.9765,0.0854238618941,200
1,0,2,19,0.9701,0.0984808733311,200
1,0,2,20,0.9606,0.11460063932,200
1,0,2,21,0.9556,0.121003509231,200
1,0,2,22,0.94755,0.130139073271,200
1,0,2,23,0.9371,0.141569060868,200
1,0,2,24,0.9333,0.150122596467,200
1,0,2,25,0.92135,0.166110326902,200
1,0,2,26,0.91185,0.182762381085,200
1,0,2,27,0.9008,0.190147681299,200
1,0,2,28,0.89325,0.196992302735,200
1,0,2,29,0.8811,0.205855952955,200
1,0,2,30,0.86735,0.217926449028,200
1,1,0,1,1,0,200
1,1,0,2,1,0,200
1,1,0,3,1,0,200
1,1,0,4,1,0,200
1,1,0,5,1,0,200
1,1,0,6,1,0,200
1,1,0,7,1,0,200
1,1,0,8,1,0,200
1,1,0,9,1,0,200
1,1,0,10,1,0,200
1,1,0,11,1,0,200
1,1,0,12,1,0,200
1,1,0,13,1,0,200
1,1,0,14,1,0,200
1,1,0,15,1,0,200
1,1,0,16,1,0,200
1,1,0,17,0.99995,0.000707106781187,200
1,1,0,18,0.9998,0.00140351317993,200
1,1,0,19,0.99855,0.00380392550482,200
1,1,0,20,0.9959,0.00651168258212,200
1,1,0,21,0.9913,0.0097871826755,200
1,1,0,22,0.98355,0.0132201118295,200
1,1,0,23,0.9747,0.0172452017943,200
1,1,0,24,0.9621,0.0227193937919,200
1,1,0,25,0.94845,0.0248633956291,200
1,1,0,26,0.9301,0.0291588958301,200
1,1,0,27,0.91005,0.031789153044,200
1,1,0,28,0.8859,0.0331160590474,200
1,1,0,29,0.86035,0.0344865788475,200
1,1,0,30,0.8299,0.0389947812511,200
1,1,1,1,1,0,200
1,1,1,2,1,0,200
1,1,1,3,1,0,200
1,1,1,4,1,0,200
1,1,1,5,1,0,200
1,1,1,6,1,0,200
1,1,1,7,1,0,200
1,1,1,8,1,0,200
1,1,1,9,1,0,200
1,1,1,10,1,0,200
1,1,1,11,1,0,200
1,1,1,12,0.99995,0.000707106781187,200
1,1,1,13,0.99985,0.00121857483279,200
1,1,1,14,0.9996,0.00386193900319,200
1,1,1,15,0.99955,0.00416946304823,200
1,1,1,16,0.99715,0.0267949125149,200
1,1,1,17,0.9964,0.0307206574469,200
1,1,1,18,0.99575,0.0335119794077,200
1,1,1,19,0.9914,0.0511676719547,200
1,1,1,20,0.9831,0.064077449996,200
1,1,1,21,0.9734,0.0731243863523,200
1,1,1,22,0.95725,0.0887089844356,200
1,1,1,23,0.93715,0.110049680421,200
1,1,1,24,0.91315,0.132712624507,200
1,1,1,25,0.88095,0.159734696816,200
1,1,1,26,0.8431,0.190501559629,200
1,1,1,27,0.80325,0.207395763005,200
1,1,1,28,0.7615,0.220808814732,200
1,1,1,29,0.7129,0.231966879459,200
1,1,1,30,0.6574,0.243032020142,200
1,1,2,1,1,0,200
1,1,2,2,1,0,200
1,1,2,3,1,0,200
1,1,2,4,1,0,200
1,1,2,5,0.9996,0.00314474915314,200
1,1,2,6,0.9993,0.00535287458583,200
1,1,2,7,0.9979,0.0107782584062,200
1,1,2,8,0.99385,0.0388099026373,200
1,1,2,9,0.99145,0.0441377184611,200
1,1,2,10,0.9862,0.0602720799217,200
1,1,2,11,0.97795,0.0819259225393,200
1,1,2,12,0.95935,0.131806457395,200
1,1,2,13,0.944,0.159499846411,200
1,1,2,14,0.92335,0.189374207463,200
1,1,2,15,0.8984,0.213010108992,200
1,1,2,16,0.8662,0.250014190552,200
1,1,2,17,0.84605,0.273413004179,200
1,1,2,18,0.8162,0.296287854058,200
1,1,2,19,0.7707,0.328187515342,200
1,1,2,20,0.7341,0.352600090925,200
1,1,2,21,0.69025,0.370172359013,200
1,1,2,22,0.6455,0.383029119693,200
1,1,2,23,0.59855,0.394608638257,200
1,1,2,24,0.5515,0.394859875916,200
1,1,2,25,0.50725,0.393396417378,200
1,1,2,26,0.4561,0.380788378164,200
1,1,2,27,0.4057,0.370221324542,200
1,1,2,28,0.3655,0.353016790353,200
