outcome,family,estimand_id,calibration_ratio,price_impact_lambda,transition,conditioning_intensity,funding_intensity,market_intensity,blocks,estimate,block_se,pointwise_lower,pointwise_upper,simultaneous_lower,simultaneous_upper
mean_equity_loss,market_local_average,market_0_to_1_average_funding,2,0.15,0_to_1,,,,200,0.0479932102785,0.00181317523756,0.0443981700452,0.0515502796842,0.0443998052363,0.0515866153208
mean_equity_loss,market_local_average,market_1_to_2_average_funding,2,0.15,1_to_2,,,,200,0.0479990037591,0.00177261749502,0.0444859585274,0.0514550229467,0.0444859772669,0.0515120302513
worst_10pct_mean_equity_loss,channel_interaction,interaction_funding_1_market_1,0.5,0,,,1,1,200,-1.04346390046e-07,6.57470184664e-08,-2.54134933154e-07,-4.74495543328e-10,-2.69277805737e-07,6.05850256444e-08
worst_10pct_mean_equity_loss,channel_interaction,interaction_funding_1_market_2,0.5,0,,,1,2,200,-2.13704008047e-07,1.3465152596e-07,-5.20474662055e-07,-9.71785545055e-10,-5.51487641732e-07,1.24079625637e-07
worst_10pct_mean_equity_loss,channel_interaction,interaction_funding_2_market_1,0.5,0,,,2,1,200,-6.68055387321e-05,7.2355972556e-06,-8.14344982402e-05,-5.33444277666e-05,-8.49565868948e-05,-4.86544905695e-05
worst_10pct_mean_equity_loss,channel_interaction,interaction_funding_2_market_2,0.5,0,,,2,2,200,-0.000136107971775,1.46949612975e-05,-0.00016586024188,-0.000108775842318,-0.000172971404168,-9.92445393812e-05
worst_10pct_mean_equity_loss,channel_interaction,interaction_funding_1_market_1,0.5,0.15,,,1,1,200,-4.986419604e-07,8.37857262082e-08,-6.75499066606e-07,-3.50352390505e-07,-7.08824851739e-07,-2.88459069061e-07
worst_10pct_mean_equity_loss,channel_interaction,interaction_funding_1_market_2,0.5,0.15,,,1,2,200,-1.0189577539e-06,1.71418288473e-07,-1.38069921563e-06,-7.15203183545e-07,-1.44897361854e-06,-5.88941889266e-07
worst_10pct_mean_equity_loss,channel_interaction,interaction_funding_2_market_1,0.5,0.15,,,2,1,200,-8.71981907972e-05,8.3130695122e-06,-0.000104156124737,-7.14115596881e-05,-0.000108052160382,-6.63442212125e-05
worst_10pct_mean_equity_loss,channel_interaction,interaction_funding_2_market_2,0.5,0.15,,,2,2,200,-0.000177490401059,1.68872203453e-05,-0.000211964952656,-0.000145359604296,-0.000219853282655,-0.000135127519462
worst_10pct_mean_equity_loss,channel_interaction,interaction_funding_1_market_1,1,0,,,1,1,200,-8.63696052258e-06,1.44445125499e-06,-1.15874151203e-05,-5.93520436298e-06,-1.22604767814e-05,-5.01344426376e-06
worst_10pct_mean_equity_loss,channel_interaction,interaction_funding_1_market_2,1,0,,,1,2,200,-1.75341910596e-05,2.92912806566e-06,-2.3512320045e-05,-1.20499716274e-05,-2.48821324549e-05,-1.01862496643e-05
worst_10pct_mean_equity_loss,channel_interaction,interaction_funding_2_market_1,1,0,,,2,1,200,-0.000264097615116,1.91164544281e-05,-0.000302921037086,-0.000228126247436,-0.000312052700614,-0.000216142529618
worst_10pct_mean_equity_loss,channel_interaction,interaction_funding_2_market_2,1,0,,,2,2,200,-0.00053478936113,3.86150870693e-05,-0.000613124335951,-0.000462253580601,-0.000631658255354,-0.000437920466906
